"Actions","Možnosti"
"An error occurred while marking notification as read.","Chyba při označování upozornění jako přečteno."
"An error occurred while marking the messages as read.","Chyba při označování zpráv jako přečteno."
"An error occurred while removing messages.","Chyba při odstraňování zpráv."
"An error occurred while removing the message.","Chyba při odstraňování zprávy"
"Are you sure?","Jste si jisti?"
"Date Added","Datum zveřejnění"
"Last Update","Poslední aktualizace"
"Mark as Read","Označit jako přečteno"
"Mark as read","Označit jako přečteno"
"Message","Zpráva"
"Messages Inbox","Přijaté zprávy"
"Notifications","Upozornění"
"Please select messages.","Prosím vyberte zprávy."
"Read Details","Číst podrobnosti"
"Remove","Odstranit"
"Severity","Důležitost"
"Show List","Zobrazit seznam"
"Show Toolbar","Zobrazit Toolbar (nástrojovou lištu)"
"The message has been marked as read.","Zpráva byla označena jako přečtená"
"The message has been removed.","Zpráva byla úspěšně odstraněna."
"Total of %d record(s) have been marked as read.","Celkem %d záznamů úspěšně označeno jako přečtené."
"Total of %d record(s) have been removed.","Celkem %d záznamů úspěšně odstraněno."
"Unable to proceed. Please, try again.","Nelze pokračovat. Prosím zkuste to znovu."
"Update Frequency","Frekvence aktualizací"
"Use HTTPS to Get Feed","Použít HTTPS pro zprávy"
"critical","kritická"
"major","vysoká"
"minor","nízká"
"notice","upozornění"
