"Bank Prepayment","Platba převodním příkazem"
"Pay within X days","Zaplatit do X dnů"
"Please transfer the money within %s days to the following bank account","Prosím převeďte peníze do %s dnů na následující účet"
"Please transfer the money to the following bank account","Prosím převeďte peníze na následující účet"
"Account holder","Držitel účtu"
"Account number1","Číslo účtu"
"Account number","Číslo účtu"
"Sort code","Kód banky"
"Bank name","Jméno banky"
"For international transfers please use also following data","Pro mezinárodní převody použijte prosím také tyto údaje"
"IBAN","IBAN"
"BIC","BIC"
"Account info","Informace o účtu"
"International","Mezinárodní"
"Custom text","Text"
