"-- Please select --","-- Prosím vyberte --"
"Allowed Currencies","Povolené měny"
"Base Currency","Základní měna"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Základní měna bude použita pro všechny online platební transakce. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Cannot retrieve rate from %s.","Sazbu z %s nelze získat."
"Connection Timeout in Seconds","Čas vypršení připojení v sekundách"
"Continue &raquo;","Pokračovat &raquo;"
"Country","Země"
"Country Api","API země"
"Country and Format Type combination should be unique","Kombinace typu země a formátu musí být unikátní"
"Currency","Měna"
"Currency Options","Možnosti měny"
"Currency Setup","Nastavení měny"
"Currency Update Warnings","Varování aktualizace měny"
"Default Display Currency","Výchozí zobrazovaná měna"
"Directory","Adresář"
"Enabled","Aktivní"
"Error Email Recipient","Chyba E-mailového příjemce"
"Error Email Sender","Chyba E-mailového odesilatele"
"Error Email Template","Chyba v emailové šabloně"
"FATAL ERROR:","FATÁLNÍ CHYBA:"
"Frequency","Četnost"
"Installed Currencies","Instalované měny"
"Invalid Import Service specified.","Chybně vybraná importní služba."
"Invalid country code: %s","Neplatný kód země: %s"
"Invalid rates received","Obdrženy chybné sazby"
"Invalid target currency.","Chybná cílová měna."
"List of countries","Seznam zemí"
"List of regions in specified country","Seznam krajů ve vybrané zemi"
"Postal Code is Optional for the following countries","PSČ je pro tyto země"
"Region","Kraj"
"Region Api","API kraje"
"Scheduled Import Settings","Naplánovaný import nastavení"
"Select Your Currency","Vyberte měnu"
"Service","Služba"
"Start Time","Doba startu"
"State/Province","Stát/provincie"
"Strikeiron Email Update Warnings","Strikeiron email varování aktualizace"
"Unable to initialize the import model.","Nelze inicializovat importní model."
"Undefined rate from ""%s-%s"".","Nedefinovaná sazba od ""%s-%s""."
"WARNING:","VAROVÁNÍ:"
"Webservicex","Webservicex"
"Your current currency is: %s","Vaše aktuální měna je: %s"
