"%s Index proces is working now. Please try run this process later.","%s nyní se provádí zpracování indexu. Prosím zkuste spustit tento proces později."
"%s index was rebuilt successfully.","index %s byl úspěšně přegenerován."
"'%s' Index Process Information","Informace o zpracování indexu '%s'"
"Action","Akce"
"Can't initialize indexer process.","Nemohu inicializovat indexovací proces."
"Change Index Mode","Změna možnosti indexování"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Stiskněte pro přechod do <a href=""%s"">Správy cache</a> a obnovte cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Stiskněte pro přechod do <a href=""%s"">Správy indexů</a> a obnovte požadované indexy."
"Description","Popis"
"Disable","Vypnout"
"Enable","Zapnout"
"General","Hlavní"
"Index","Index"
"Index Description","Popis indexu"
"Index Management","Nastavení indexu"
"Index Mode","Index Mode"
"Index Name","Jméno indexu"
"Index mode","Index mode"
"Index was saved successfully.","Index byl úspěšně uložen."
"Indexer code is not defined.","Kód indexování není definován."
"Indexer model is not defined.","Model indexování není definován."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer model should extend Mage_Index_Model_Indexer_Abstract."
"Last Run","Naposledy spuštěno"
"Manual Update","Ruční aktualizace"
"Mode","Mode"
"Never","Nikdy"
"One or more of the Indexes are not up to date:","Jeden nebo více indexů nejsou aktuální:"
"Pending Events","Čekající události"
"Please select Index(es)","Prosím vyberte indexy"
"Please select Indexes","Prosím vyberte indexy"
"Process Information","Informace o zpracování"
"Processing","Zpracovávám"
"Ready","Připraven"
"Refresh","Obnovit"
"Reindex Data","Přeindexovat data"
"Reindex Required","Je vyžadováno přeindexování"
"Some problem with reindexing process.","Nastal problém při přeindexování."
"Some problem with saving process.","Nastal problém při ukládání."
"Status","Stav"
"System","systém"
"Total of %d index(es) have successfully reindexed data","Celkem úspěšně aktualizovaných indexů: %d"
"Total of %d index(es) were successfully changed index mode","Total of %d index(es) were successfully changed index mode"
"Update on Save","Aktualizovat po uložení"
