" Copy"," Kopie"
"<!-- This tag is for unsubscribe link  --> Follow this link to unsubscribe <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","<!-- Tento odkaz slouží pro odhlášení se z odběru novinek --> Následujte tento odkaz pro odhlášení se z odběru novinek <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Action","Událost"
"Add New Template","Přidat novou šablonu"
"Add to Queue","Přidat do fronty"
"Allow Guest Subscription","Povolit odběr hostům"
"An error occurred while saving your subscription.","Při ukládání přihlášky došlo k chybě."
"Are you sure that you want to delete this template?","Jste si jisti, že chcete smazat tuto šablonu?"
"Are you sure that you want to strip all tags?","Jste si jisti, že chcete sundat všechny příspěvky?"
"Back","Zpět"
"Cancel","Zrušit"
"Cancelled","Zrušeno"
"Cannot mark as received subscriber.","Nelze označit jako obdrženého předplatitele."
"Confirmation Email Sender","Odesilatel potvrzujícího emailu"
"Confirmation Email Template","Šablona potvrzujícího emailu"
"Confirmation request has been sent.","Byla odeslána žádost o potvrzení."
"Convert to Plain Text","Převést na prostý text"
"Create Newsletter Template","Vytvořit šablonu zpravodaje"
"Customer","Zákazník"
"Customer First Name","Jméno zákazníka"
"Customer Last Name","Příjmení zákazníka"
"Customer My Account Newsletter Subscriptions","Zákaznický účet - Odběry zpravodaje"
"Date Added","Přidáno datum"
"Date Updated","Datum upraveno"
"Delete","Smazat"
"Delete Selected Problems","Smazat označené problémy"
"Delete Template","Smazat šablonu"
"Do you really want to cancel the queue?","Opravdu chcete zrušit frontu?"
"Duplicate template code.","Duplikovat kód šablony."
"Edit Newsletter","Upravit Zpravodaj"
"Edit Newsletter Template","Upravit šablonu zpravodaje"
"Edit Queue","Upravit frontu"
"Edit Template","Upravit šablonu"
"Email","E-mail"
"Enter your email address","Vložte Vaší emailovou adresu"
"Error Code","Kód chyby"
"Error Text","Text chyby"
"Guest","Návštěvník"
"ID","ID"
"Invalid queue selected.","Vybrána neplatná fronta."
"Invalid subscription ID.","Neplatné id přihlášk.y"
"Invalid subscription confirmation code.","Neplatný ověřovací kód přihlášky."
"Message","Zpráva"
"Need to Confirm","Potřeba potvrdit"
"New Newsletter Template","Nová šablona zpravodaje"
"New Template","Nová šablona"
"Newsletter","Zpravodaj"
"Newsletter Message Preview","Náhled zprávy zpravodaje"
"Newsletter Problem Reports","Report chyb zpravodaje"
"Newsletter Queue","Fronta zpravodaje"
"Newsletter Section","Zpravodaje"
"Newsletter Sign-up:","Přihlásit se k odběru zpravodaje"
"Newsletter Subscribers","Odběratelé zpravodaje"
"Newsletter Subscription","Odběry zpravodaje"
"Newsletter Subscriptions","Odběry zpravodaje"
"Newsletter Templates","Šablony zpravodaje"
"Newsletter subscription confirmation","Potvrzení odběru novinek"
"Newsletter subscription success","Úspěšné přihlášení k odběru novinek"
"Newsletter unsubscription success","Úspěšné zrušení odběru novinek"
"No Templates Found","Nenalezeny šablony"
"No problems found.","Nenalezeny problémy."
"No subscribers selected.","Žádní odběratelé nebyli vybráni."
"Not Activated","Neaktivovaný"
"Not Sent","Neodesláno"
"Pause","Pauza"
"Paused","Pozastaveno"
"Please enter a valid email address.","Vložte prosím platnou emailovou adresu."
"Please enter new template name","Vložte nové jméno šablony"
"Please select subscriber(s)","Vyberte odběratele"
"Preview","Náhled"
"Preview Template","Náhled šablony"
"Processed","Zpracovaný"
"Queue Date Start","Fronta od data"
"Queue Finish","Konec fronty"
"Queue Information","Informace o frontě"
"Queue Newsletter...","Fronty zpravodaje..."
"Queue Start","Start fronty"
"Queue Subject","Nadpis fronty"
"Recipients","Příjemci"
"Reset","Vynulovat"
"Resume","Pokračovat"
"Return HTML Version","Vrátit HTML verzi"
"Save As","Uložit jako"
"Save Newsletter","Uložit zpravodaj"
"Save Template","Uložit šablonu"
"Save and Resume","Uložit a pokračovat"
"Selected problem subscribers have been unsubscribed.","Vybraní problémoví odběratelé byli úspěšně vyřazeni z odběru."
"Selected problems have been deleted.","Vybrané problémy byly úspěšně smazány."
"Sender","Odesilatel"
"Sender Email","Odesilatel emailu"
"Sender Name","Jméno odesilatele"
"Sending","Zaslání"
"Sent","Odesláno"
"Sign Up for Our Newsletter:","Zaregistrujte se k odběru novinek:"
"Sign up for our newsletter","Zaregistrujte se k odběru novinek"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Omlouváme se, ale nejsou povoleny odběry pro hosty. <a href=""%s"">Zaregistrujte se</a>, prosím."
"Sorry, but your can not subscribe email adress assigned to another user.","Omlouváme se, ale nemůžete se přihlásit o odběru na email, který používá jiný uživatel."
"Start","Start"
"Status","Stav"
"Store","Obchod"
"Store View","Obchod Pohled"
"Subject","Předmět"
"Submit","Odeslat"
"Subscribe","Přihlásit"
"Subscribed","Přihlášen"
"Subscriber","Odběratel"
"Subscribers","Odběratelé"
"Subscribers From","Předplatitelé od"
"Subscription Options","Možnosti odběru"
"Success Email Sender","Odesilatel emailu úspěšného přihlášeni k odběru novinek"
"Success Email Template","Šablona emailu úspěšného přihlášení k odběru novinek"
"Template Content","Obsah šablony"
"Template Information","Informace o šabloně"
"Template Name","Jméno šablony"
"Template Styles","Šablony stylů"
"Template Subject","Předmět šablony"
"Template Type","Typ šablony"
"Thank you for your subscription.","Děkujeme za Vaší přihlášku."
"The subscription has been removed.","Přihlášení bylo úspěšně zrušeno."
"The subscription has been saved.","Přihlášení bylo úspěšně uloženo."
"There was a problem with the subscription.","Je problém s přihláškou."
"There was a problem with the subscription: %s","Došlo k problému s přihláškou: %s"
"There was a problem with the un-subscription.","Při rušení odběru došlo k problému."
"Type","Typ"
"Unsubscribe","Zrušit odběr"
"Unsubscribe Selected","Označeno odebrání"
"Unsubscribed","Odebírání zrušeno"
"Unsubscription Email Sender","Odesilatel rušícího emailu"
"Unsubscription Email Template","Šablona rušícího emailu"
"View Newsletter","Zobrazit zpravodaj"
"Website","Webové stránky"
"You have been unsubscribed.","Váš odběr novinek byl úspěšně zrušen"
"Your subscription has been confirmed.","Vaše přihlášení bylo úspěšně potvrzeno."
