"# of Uses","počet použití"
"%s tag(s) have been accepted for moderation","Děkujeme. Váš štítek (%s) byl přijat ke schváliení."
"<strong>Tag Name:</strong> %s","<strong>Jméno štítku:</strong> %s"
"Action","Událost"
"Add New Tag","Přidat nový štítek"
"Add Tags","Přidat štítky"
"Add Your Tags:","Přidejte vaše štítky:"
"Add to Cart","Přidat do košíku"
"Add to Wishlist","Přidat do seznamu přání"
"All Tags","Všechny štítky"
"Approved","Schválený"
"Are you sure you want to delete this tag?","Určitě chcete tento štítek smazat?"
"Are you sure you want to do this?","Jste si jisti, že to chcete udělat?"
"Are you sure?","Jste si jisti?"
"Back","Zpět"
"Back to Tags List","Zpět na seznam štítků"
"Base Popularity","Obliba"
"Block Information","Informace o bloku"
"CSV","CSV"
"Change status","Stav změněn"
"Click on a tag to view your corresponding products.","Kliknutím na štítek zobrazíte odpovídající produkty"
"Country","Země"
"Customer My Account My Tags List","Seznam mých štítků"
"Customer My Account Tag View","Zobrazit štítky"
"Customer Since","Zákazníkem od"
"Customers","Zákazníci"
"Customers Submitted this Tag","Zákazníci, kteří odeslali tento štítek"
"Customers Tagged '%s'","Štítky od zákazníků '%s'"
"Delete","Smazat"
"Delete Tag","Smazat štítek"
"Disabled","Neaktivní"
"Edit Tag '%s'","Upravit štítek '%s'"
"Email","E-mail"
"First Name","Jméno"
"General Information","Všeobecné informace"
"Grid","Tabulka"
"ID","ID"
"Last Name","Příjmení"
"List","Seznam"
"Manage Tags","Spravovat štítky"
"My Recent Tags","Moje poslední štítky"
"My Tags","Moje štítky"
"Name","Jméno"
"New Tag","Nový štítek"
"No matches found.","Nebyl nalezen žádný záznam."
"Other people marked this product with these tags:","Ostatní označili tento produkt těmito štítky:"
"Pending","Čekající"
"Pending Tags","Čekající štítky"
"Popular","Oblíbené"
"Popular Tags","Oblíbené štítky"
"Popularity","Obliba"
"Price","Cena"
"Product Name","Název produktu"
"Product SKU","Produkt SKU"
"Product Tags","Štítky produktu"
"Products","Produkty"
"Products Tagged by Administrators","Produkty oštítkované správci"
"Products Tagged by Customers","Produkty oštítkované zákazníky"
"Products Tagged with '%s'","Produkty oštítkované jako '%s'"
"Products tagged with '%s'","Produkty oštítkované jako '%s'"
"SKU","SKU"
"Save And Continue Edit","Uložit a pokračovat v úpravách"
"Save Tag","Uložit štítek"
"Search Terms","Vyhledávané termíny"
"Status","Stav"
"Tag","Štítek"
"Tag ""%s"" has already been added to the product","Štítek ""%s"" byl již přidán k výrobku"
"Tag ""%s"" has been added to the product","Štítek ""%s"" byl přidán k výrobku"
"Tag Name","Jméno štítku"
"Tagged Products List","Seznam oštítkovaných produktů"
"Tags","Štítky"
"Tags Aren't Available","Štítky nejsou k dispozici"
"Tags List (All Available)","Seznam štítků (všechny dostupné)"
"Tags:","Štítky:"
"Telephone","Telefon"
"Unable to find any products tagged with '%s' in the current store","Nenalezen žádný produkt označený štítkem '%s' v tomto obchodě"
"Unable to remove tag. Please, try again later.","Štítek se nepodařilo odstranit. Zkuste to prosím později."
"Unable to save tag(s)","Nelze uložit štítky"
"Use spaces to separate tags. Use single quotes (') for phrases.","Štítky oddělujte mezerou. Víceslovné uzavřete v apostrofech (')."
"Uses","Použití"
"View All Tags","Zobrazit všechny štítky"
"View Customers","Zobrazit zákazníky"
"View Products","Zobrazit produkty"
"Visible In","Viditelné v"
"XML","XML"
"You have not tagged any products yet.","Zatím jste neoznačili štítkem žádný produkt"
"Your tag was successfully deleted","Váš štítek byl úspěšně smazán"
"ZIP/Post Code","PSČ"
