"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International",""
"All Polish Banks",""
"CartaSi",""
"CartaSi (powered by Moneybookers) - Italy",""
"Carte Bleue",""
"Carte Bleue (powered by Moneybookers) - France",""
"Credit Card / Visa, Mastercard, AMEX, JCB, Diners",""
"Customer ID",""
"Customer was redirected to Moneybookers.",""
"Dankort",""
"Dankort (powered by Moneybookers) - Denmark",""
"EPS Online-Überweisung",""
"EPS Online-Überweisung (powered by Moneybookers) - Austria",""
"Enabled",""
"Giropay",""
"Giropay (powered by Moneybookers) - Germany",""
"Laser",""
"Laser (powered by Moneybookers) - Ireland",""
"Lastschrift (ELV)",""
"Lastschrift (ELV) (powered by Moneybookers) - Germany",""
"Loading secure payment page (SSL)",""
"Moneybookers",""
"Moneybookers Info URL",""
"Moneybookers Settings",""
"Moneybookers Transaction ID: %s",""
"Moneybookers eWallet",""
"More information about Moneybookers",""
"Nordea Solo",""
"Nordea Solo (powered by Moneybookers) - Finland",""
"Nordea Solo (powered by Moneybookers) - Sweden",""
"Order ID",""
"POLi",""
"POLi (powered by Moneybookers) - Australia",""
"Payment failed",""
"Payment from Applicable Countries",""
"Payment from Specific Countries",""
"Payment has not been processed yet.",""
"Payment was canceled",""
"Pending bank transfer created.",""
"Please pay your order now",""
"Postepay",""
"Postepay (powered by Moneybookers) - Italy",""
"Przelewy24 (powered by Moneybookers) - Poland",""
"Sofortüberweisung",""
"Sofortüberweisung (powered by Moneybookers) - Germany",""
"Sort Order",""
"The amount has been authorized and captured by Moneybookers.",""
"The order has been canceled.",""
"Title",""
"You will be redirected to our secure payment page when you place an order.",""
"eNETS",""
"eNETS (powered by Moneybookers) - Singapore",""
"iDeal",""
"iDeal (powered by Moneybookers) - Netherlands",""
